channel_id,channel_name,language,region,category,frequency_mhz,uplink_band,downlink_band,transponder,empaneled,empanel_date,compliance_score,active
CH001,News Today HD,Hindi,National,News,12345,Ku-Band,C-Band,TP-01,Yes,2019-04-01,94.2,Yes
CH002,Vishwa Samachar,Hindi,North India,News,12347,Ku-Band,C-Band,TP-02,Yes,2020-01-15,88.7,Yes
CH003,Regional Mirror,Marathi,Maharashtra,Regional News,12349,C-Band,C-Band,TP-03,Yes,2018-07-01,91.5,Yes
CH004,South Express,Tamil,Tamil Nadu,Regional News,12351,Ku-Band,Ku-Band,TP-04,Yes,2021-03-10,85.0,Yes
CH005,Kannada Vision,Kannada,Karnataka,General Entertainment,12353,C-Band,C-Band,TP-05,Yes,2019-11-20,79.3,Yes
CH006,Telugu Stars,Telugu,Andhra Pradesh,General Entertainment,12355,Ku-Band,C-Band,TP-06,Yes,2020-06-05,82.6,Yes
CH007,Bengal Beats,Bengali,West Bengal,Music,12357,C-Band,Ku-Band,TP-07,Yes,2021-08-14,76.4,Yes
CH008,Punjabi Dhol,Punjabi,Punjab,Music,12359,Ku-Band,C-Band,TP-08,Yes,2018-12-01,88.1,Yes
CH009,Kids Universe,Hindi,National,Kids,12361,C-Band,C-Band,TP-09,Yes,2022-01-01,95.0,Yes
CH010,Sports Arena,Hindi,National,Sports,12363,Ku-Band,Ku-Band,TP-10,Yes,2017-05-15,97.2,Yes
CH011,Cineplex Gold,Hindi,National,Movies,12365,C-Band,C-Band,TP-11,Yes,2016-09-01,90.8,Yes
CH012,Bhakti Sagar,Hindi,National,Devotional,12367,C-Band,Ku-Band,TP-12,Yes,2020-03-22,83.4,Yes
CH013,Odia Dharitri,Odia,Odisha,Regional News,12369,Ku-Band,C-Band,TP-13,Yes,2019-07-07,77.9,Yes
CH014,Malayalam Moon,Malayalam,Kerala,General Entertainment,12371,C-Band,C-Band,TP-14,Yes,2021-10-30,86.2,Yes
CH015,Gujarati Garba,Gujarati,Gujarat,Regional News,12373,Ku-Band,Ku-Band,TP-15,Yes,2018-02-14,89.5,Yes
CH016,Documentary Hub,English,National,Documentary,12375,C-Band,C-Band,TP-16,Yes,2022-05-01,92.7,Yes
CH017,Fitness First,Hindi,National,Lifestyle,12377,Ku-Band,C-Band,TP-17,Yes,2023-01-10,80.0,Yes
CH018,Comedy Central IN,Hindi,National,Entertainment,12379,C-Band,Ku-Band,TP-18,Yes,2020-09-15,84.3,Yes
CH019,Science Now,English,National,Educational,12381,Ku-Band,C-Band,TP-19,Yes,2021-06-20,93.1,Yes
CH020,Assam Tribune TV,Assamese,Assam,Regional News,12383,C-Band,C-Band,TP-20,Yes,2022-11-05,74.8,Yes
